,alpha,beta,MSE,MAE,R2
268,0.03,0.71,2653.507705,39.70539952,0.520134438
269,0.03,0.72,2640.154766,39.62256878,0.522549209
270,0.03,0.73,2639.56243,39.56835913,0.522656329
271,0.03,0.74,2660.398109,39.72519808,0.518888363
272,0.03,0.75,2643.605039,39.60101744,0.521925255
273,0.03,0.76,2676.859389,39.97861751,0.515911473
274,0.03,0.77,2653.271115,39.75427275,0.520177223
275,0.03,0.78,2662.44816,39.80268189,0.518517628
276,0.03,0.79,2647.708153,39.73805333,0.52118324
277,0.03,0.8,2656.950802,39.84259373,0.519511781
278,0.03,0.81,2656.039993,39.68763585,0.519676494
279,0.03,0.82,2641.387141,39.59930098,0.522326344
280,0.03,0.83,2647.828626,39.74093629,0.521161453
281,0.03,0.84,2643.243741,39.68155786,0.521990593
282,0.03,0.85,2648.760903,39.6467046,0.520992859
283,0.03,0.86,2642.65592,39.64168397,0.522096896
284,0.03,0.87,2640.481176,39.67659285,0.522490181
285,0.03,0.88,2653.565175,39.75713588,0.520124044
286,0.03,0.89,2654.528755,39.76125028,0.519949789
287,0.03,0.9,2667.37556,39.82113184,0.517626547
288,0.03,0.91,2644.697791,39.63478827,0.52172764
289,0.03,0.92,2658.145191,39.74949202,0.519295786
290,0.03,0.93,2671.283784,39.84342153,0.516919776
291,0.03,0.94,2657.622853,39.70934238,0.519390246
292,0.03,0.95,2653.227254,39.73703953,0.520185155
293,0.03,0.96,2650.158481,39.83113787,0.520740118
294,0.03,0.97,2652.708007,39.75144865,0.520279057
295,0.03,0.98,2674.877929,39.85684949,0.516269804
296,0.03,0.99,2699.356404,40.01916365,0.511843068
297,0.04,0.01,2662.944864,39.80742904,0.518427803
298,0.04,0.02,2645.552213,39.68004343,0.521573124
299,0.04,0.03,2652.006166,39.73513703,0.520405979
300,0.04,0.04,2660.163949,39.76875325,0.518930709
301,0.04,0.05,2648.736806,39.71621897,0.520997216
302,0.04,0.06,2642.855271,39.65181334,0.522060845
303,0.04,0.07,2641.217518,39.59388912,0.522357019
304,0.04,0.08,2664.643228,39.75698079,0.518120668
305,0.04,0.09,2677.78233,39.87575351,0.515744566
306,0.04,0.1,2640.361713,39.59882655,0.522511785
307,0.04,0.11,2666.105212,39.81141728,0.51785628
308,0.04,0.12,2663.144327,39.67839148,0.518391732
309,0.04,0.13,2676.184341,39.82836969,0.51603355
310,0.04,0.14,2656.424,39.65179511,0.519607049
311,0.04,0.15,2652.542721,39.69297785,0.520308947
312,0.04,0.16,2648.407455,39.62630591,0.521056777
313,0.04,0.17,2661.267756,39.66705666,0.518731095
314,0.04,0.18,2661.742015,39.74100289,0.518645329
315,0.04,0.19,2647.424027,39.71009339,0.521234622
316,0.04,0.2,2686.320311,39.98349939,0.514200541
317,0.04,0.21,2669.858593,39.86835599,0.517177511
318,0.04,0.22,2655.25025,39.69490606,0.519819312
319,0.04,0.23,2660.874516,39.75511015,0.518802209
320,0.04,0.24,2651.039547,39.61127956,0.520580784
321,0.04,0.25,2641.473249,39.63921818,0.522310772
322,0.04,0.26,2637.065566,39.48193622,0.523107866
323,0.04,0.27,2661.045365,39.81293022,0.518771312
324,0.04,0.28,2656.043589,39.68251405,0.519675843
325,0.04,0.29,2650.680531,39.74873217,0.520645709
326,0.04,0.3,2669.523394,39.76786355,0.517238129
327,0.04,0.31,2649.725937,39.72407519,0.52081834
328,0.04,0.32,2662.116606,39.77768179,0.518577587
329,0.04,0.33,2664.625146,39.70180467,0.518123938
330,0.04,0.34,2650.05737,39.65004832,0.520758403
331,0.04,0.35,2646.769236,39.65697781,0.521353035
332,0.04,0.36,2666.270938,39.80548953,0.517826309
333,0.04,0.37,2635.634039,39.60441696,0.523366746
334,0.04,0.38,2661.248244,39.70675999,0.518734623
335,0.04,0.39,2682.701596,39.8977132,0.514854957
336,0.04,0.4,2673.735025,39.77465878,0.516476489
337,0.04,0.41,2663.824253,39.80793235,0.518268773
338,0.04,0.42,2676.949204,39.85186503,0.515895231
339,0.04,0.43,2659.202813,39.74008864,0.519104523
340,0.04,0.44,2655.399103,39.67598303,0.519792393
341,0.04,0.45,2665.088087,39.70033989,0.518040218
342,0.04,0.46,2655.358754,39.71242455,0.51979969
343,0.04,0.47,2648.938528,39.66930372,0.520960736
344,0.04,0.48,2657.496837,39.6663607,0.519413035
345,0.04,0.49,2677.773922,39.89046702,0.515746087
346,0.04,0.5,2672.18459,39.91812115,0.516756873
347,0.04,0.51,2681.333506,39.96469081,0.515102365
348,0.04,0.52,2648.788758,39.62891465,0.520987821
349,0.04,0.53,2665.6579,39.8021334,0.517937172
350,0.04,0.54,2662.266336,39.73102141,0.518550509
351,0.04,0.55,2676.640858,39.87645188,0.515950993
352,0.04,0.56,2668.644618,39.7886435,0.517397048
353,0.04,0.57,2660.085602,39.70109659,0.518944878
354,0.04,0.58,2654.98558,39.62730423,0.519867176
355,0.04,0.59,2653.442707,39.67321658,0.520146192
356,0.04,0.6,2646.776218,39.56849581,0.521351773
357,0.04,0.61,2669.454906,39.78148473,0.517250514
358,0.04,0.62,2647.753988,39.64933267,0.521174951
359,0.04,0.63,2657.689996,39.77116777,0.519378104
360,0.04,0.64,2664.666607,39.75544014,0.51811644
361,0.04,0.65,2662.178512,39.75606113,0.518566392
362,0.04,0.66,2653.579386,39.73455508,0.520121475
363,0.04,0.67,2655.042066,39.74492401,0.519856961
364,0.04,0.68,2656.857421,39.76448703,0.519528668
365,0.04,0.69,2640.795654,39.62090654,0.52243331
366,0.04,0.7,2657.072774,39.83342644,0.519489723
367,0.04,0.71,2671.747152,39.82695418,0.51683598
368,0.04,0.72,2651.990796,39.73222239,0.520408758
